id,release_date,movie,production_budget,domestic_gross,worldwide_gross,worldwide_roi,roi_category,movie_year,tconst,primary_title,original_title,start_year,runtime_minutes,genres
92,"May 18, 2012",Indie Game: The Movie,100000,0,0,0.0,low,Indie Game: The Movie (2012),tt1942884,Indie Game: The Movie,Indie Game: The Movie,2012.0,103.0,"Documentary,Drama"
100,"Jul 8, 2016",The Dog Lover,2000000,0,0,0.0,low,The Dog Lover (2016),tt4063178,The Dog Lover,The Dog Lover,2016.0,101.0,Drama
1,"Dec 1, 2015",Shark Lake,2000000,0,0,0.0,low,Shark Lake (2015),tt4416518,Shark Lake,Shark Lake,2015.0,92.0,"Action,Adventure,Crime"
84,"Sep 7, 2012",Crowsnest,1200000,0,0,0.0,low,Crowsnest (2012),tt2180333,Crowsnest,Crowsnest,2012.0,84.0,"Horror,Mystery,Thriller"
85,"Sep 14, 2012",Airborne,1200000,0,0,0.0,low,Airborne (2012),tt1827354,Airborne,Airborne,2012.0,81.0,"Comedy,Crime,Horror"
3,"Sep 29, 2015",Queen Crab,75000,0,0,0.0,low,Queen Crab (2015),tt2319456,Queen Crab,Queen Crab,2015.0,80.0,"Action,Sci-Fi,Thriller"
29,"Jun 21, 2013",This Is Martin Bonner,42000,0,0,0.0,low,This Is Martin Bonner (2013),tt1798291,This Is Martin Bonner,This Is Martin Bonner,2013.0,83.0,Drama
27,"Oct 25, 2013",A True Story,45000,0,0,0.0,low,A True Story (2013),tt1524083,A True Story,A True Story. Based on Things That Never Actually Happened. ...And Some That Did.,2013.0,96.0,Comedy
95,"Mar 17, 2015",Closure,100000,0,0,0.0,low,Closure (2015),tt4338136,Closure,Closure,2015.0,62.0,Drama
100,"Oct 27, 2015",Running Forever,5000000,0,0,0.0,low,Running Forever (2015),tt4453560,Running Forever,Running Forever,2015.0,88.0,Family
14,"Dec 31, 2011",Without Men,4700000,0,0,0.0,low,Without Men (2011),tt1547090,Without Men,Without Men,2011.0,87.0,Comedy
15,"Oct 4, 2013",The Dirties,55000,0,0,0.0,low,The Dirties (2013),tt2334896,The Dirties,The Dirties,2013.0,83.0,"Crime,Drama"
13,"Dec 31, 2012",Hayride,60000,0,0,0.0,low,Hayride (2012),tt1861343,Hayride,Hayride,2012.0,93.0,"Crime,Drama,Horror"
45,"Dec 31, 2010",Christmas Mail,2500000,0,0,0.0,low,Christmas Mail (2010),tt1663628,Christmas Mail,Christmas Mail,2010.0,89.0,"Comedy,Drama,Family"
96,"Dec 18, 2012",The Frozen,250000,0,0,0.0,low,The Frozen (2012),tt2363439,The Frozen,The Frozen,2012.0,95.0,"Drama,Thriller"
94,"Dec 31, 2010",The Christmas Bunny,250000,0,0,0.0,low,The Christmas Bunny (2010),tt1640714,The Christmas Bunny,The Christmas Bunny,2010.0,98.0,"Drama,Family"
21,"Dec 31, 2014",Bang Bang Baby,1000000,0,0,0.0,low,Bang Bang Baby (2014),tt2655734,Bang Bang Baby,Bang Bang Baby,2014.0,90.0,"Drama,Fantasy,Musical"
25,"Dec 31, 2016",Chemical Cut,1000000,0,0,0.0,low,Chemical Cut (2016),tt3406296,Chemical Cut,Chemical Cut,2016.0,83.0,Drama
12,"Jun 3, 2011",The Lion of Judah,1500000,0,0,0.0,low,The Lion of Judah (2011),tt1212022,The Lion of Judah,The Lion of Judah,2011.0,87.0,Animation
96,"Mar 13, 2015",Walter,700000,0,0,0.0,low,Walter (2015),tt2016335,Walter,Walter,2015.0,94.0,"Comedy,Drama"
14,"Aug 29, 2014",Dwegons and Leprechauns,20000000,0,0,0.0,low,Dwegons and Leprechauns (2014),tt1134666,Dwegons and Leprechauns,Dwegons and Leprechauns,2014.0,98.0,Animation
15,"Jul 22, 2016",Fight Valley,20000000,0,0,0.0,low,Fight Valley (2016),tt4280822,Fight Valley,Fight Valley,2016.0,90.0,"Action,Drama"
45,"Dec 31, 2014",40 Weeks,900000,0,0,0.0,low,40 Weeks (2014),tt3513086,40 Weeks,40 Weeks,2014.0,111.0,Documentary
93,"Oct 5, 2010",Rust,250000,0,0,0.0,low,Rust (2010),tt1360826,Rust,Rust,2010.0,95.0,Drama
5,"Dec 31, 2013",Treachery,625000,0,0,0.0,low,Treachery (2013),tt2380301,Treachery,Treachery,2013.0,67.0,"Drama,Thriller"
5,"Dec 31, 2013",Treachery,625000,0,0,0.0,low,Treachery (2013),tt3763580,Treachery,Treachery,2013.0,73.0,Drama
74,"Jul 17, 2012",Girls Gone Dead,500000,0,0,0.0,low,Girls Gone Dead (2012),tt1884318,Girls Gone Dead,Girls Gone Dead,2012.0,104.0,"Comedy,Horror"
72,"Dec 31, 2010",Drones,500000,0,0,0.0,low,Drones (2010),tt1232775,Drones,Drones,2010.0,98.0,Comedy
18,"Jun 24, 2014",A Fine Step,1000000,0,0,0.0,low,A Fine Step (2014),tt1604100,A Fine Step,A Fine Step,2014.0,111.0,Drama
11,"Mar 20, 2012",Snow White: A Deadly Summer,1000000,0,0,0.0,low,Snow White: A Deadly Summer (2012),tt2149137,Snow White: A Deadly Summer,Snow White: A Deadly Summer,2012.0,83.0,Horror
12,"Oct 9, 2012",Truth or Die,1000000,0,0,0.0,low,Truth or Die (2012),tt1838722,Truth or Die,Truth or Dare,2012.0,96.0,"Horror,Mystery"
76,"May 15, 2015",Pound of Flesh,7500000,0,0,0.0,low,Pound of Flesh (2015),tt3488328,Pound of Flesh,Pound of Flesh,2015.0,104.0,"Action,Thriller"
14,"Jan 7, 2014",Hidden Away,1000000,0,0,0.0,low,Hidden Away (2014),tt3289362,Hidden Away,A escondidas,2014.0,96.0,"Drama,Romance"
16,"Oct 8, 2013",Zombie Hunter,1000000,0,0,0.0,low,Zombie Hunter (2013),tt2446502,Zombie Hunter,Zombie Hunter,2013.0,93.0,"Action,Comedy,Horror"
17,"Dec 31, 2014",Doc Holliday's Revenge,1000000,0,0,0.0,low,Doc Holliday's Revenge (2014),tt3359872,Doc Holliday's Revenge,Stranded,2014.0,84.0,Western
85,"Oct 6, 2015",The Timber,2100000,0,0,0.0,low,The Timber (2015),tt2215673,The Timber,The Timber,2015.0,81.0,"Action,Adventure,Drama"
53,"Aug 22, 2014",The Prince,18000000,0,0,0.0,low,The Prince (2014),tt1085492,The Prince,The Prince,2014.0,93.0,"Action,Thriller"
53,"Aug 22, 2014",The Prince,18000000,0,0,0.0,low,The Prince (2014),tt4161288,The Prince,Shah-zadeh,2014.0,92.0,Drama
